title,date,time,author,number
[SIN] Using Flask and Python create a api to pull this repository's hacktoberfest statistics,10/03/2020,05:56:35,Pac23,#16
Add Sorting Algorithms[EXE],10/02/2020,21:01:36,rohan527,#14
[EXE] Visualise a sorting algorithm with javascript ,10/02/2020,20:59:44,thewires2,#13
[SIN] Add your best projects in the project directory,10/02/2020,20:44:13,AjayKhalsa,#11
[EXE] CNN on MNIST data: handwriting digit classification,10/02/2020,20:31:20,AjayKhalsa,#9
[SIN] Pre-process the iris dataset and implement different Machine Learning algorithms,10/02/2020,20:25:49,AjayKhalsa,#8
[SIN ]Pre-process the titanic dataset and implement different Machine Learning algorithms,10/02/2020,20:21:56,AjayKhalsa,#7
